"Report Date/Time: 10/30/2012 03:03 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","","Page Number 1"
"","","","","","","","2012 General Election - November 6, 2012","","","","","","",""
"","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","","",""
"","","","","","","ACTIVE","","","","","","","",""
"","","Precincts","Date/Period","","","","","","","","","","Other","TOTAL"
"","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","Write-In","",""
"","Yuma","42","G.E. 2010","","","","","","","","","","24,285","75,218"
"","","","","4","","","","25,553","49","319","22,323","*","",""
"","","42","P.E. 2012","","","","","","","","","","25,740","73,988"
"","","","","6","","","","26,210","47","336","22,493","*","",""
"","","42","G.E. 2012","","","","","","","","","","26,440","75,532"
"","","","","*","","","","1,002,937","4,820","24,382","1,131,802","*","",""
"","TOTALS:","2,239","G.E. 2010","","","","","","","","","","982,477","3,146,418"
"","","","","177","","","","935,098","4,773","21,770","1,113,123","*","",""
"","","1,666","P.E. 2012","","","","","","","","","","1,025,634","3,100,575"
"","","","","237","","","","952,931","4,863","22,086","1,120,992","*","",""
"","","1,667","G.E. 2012","","","","","","","","","","1,023,603","3,124,712"
"","","","","*","","","","31.88","0.15","0.77","35.97","*","",""
"","PERCENTAGES:","","G.E. 2010","","","","","","","","","","31.23",""
"","","","","0.01","","","","30.16","0.15","0.70","35.90","*","",""
"","","","P.E. 2012","","","","","","","","","","33.08",""
"","","","","0.01","","","","30.50","0.16","0.71","35.88","*","",""
"","","","G.E. 2012","","","","","","","","","","32.76",""
"","* - Party was not a recognized party during this cycle","","","","","","","","","","","","",""
"Report Date/Time: 10/30/2012 03:03 PM","","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","Page Number 2"
"","","","","","","","","","2012 General Election - November 6, 2012","","","","","",""
"","","","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","","","ACTIVE","","","","","","",""
"","Congressional","","","","Precincts","","","","","","","","","Other","TOTAL"
"","","","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","",""
"","","Congressional District 1","","","","","","","","","","","","",""
"","","","","","","0","","","","26,529","37","164","7,597","",""
"","","","Apache","","45","","","","","","","","","11,541","45,868"
"","","","","","","2","","","","26,855","249","811","18,624","",""
"","","","Coconino","","71","","","","","","","","","23,057","69,598"
"","","","","","","0","","","","7,592","8","55","2,962","",""
"","","","Gila","","22","","","","","","","","","3,439","14,056"
"","","","","","","0","","","","6,009","4","49","7,514","",""
"","","","Graham","","22","","","","","","","","","3,676","17,252"
"","","","","","","0","","","","2,283","3","21","1,091","",""
"","","","Greenlee","","8","","","","","","","","","964","4,362"
"","","","","","","0","","","","399","0","7","56","",""
"","","","Maricopa","","3","","","","","","","","","353","815"
"","","","","","","0","","","","285","0","1","123","",""
"","","","Mohave","","2","","","","","","","","","244","653"
"","","","","","","1","","","","24,435","56","342","19,134","",""
